date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:06	1315/1315	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:07%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/Heart.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/Heart.svg	(from https://startuptemplate.vercel.app/)
17:43:07	1473/1473	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:08%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/CheckedBox.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/CheckedBox.svg	(from https://startuptemplate.vercel.app/)
17:43:08	478/478	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:09%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/CaretRight.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/CaretRight.svg	(from https://startuptemplate.vercel.app/)
17:43:09	6098/6098	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:10%20GMT	https://startuptemplate.vercel.app/dist/assets/Logo_white.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Logo_white.svg	(from https://startuptemplate.vercel.app/)
17:43:10	1194/1194	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:11%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/Facebook.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/Facebook.svg	(from https://startuptemplate.vercel.app/)
17:43:11	1518/1518	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:12%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/Youtube.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/Youtube.svg	(from https://startuptemplate.vercel.app/)
17:43:12	1645/1645	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:13%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/Instagram.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/Instagram.svg	(from https://startuptemplate.vercel.app/)
17:43:13	3984/3984	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:14%20GMT	https://startuptemplate.vercel.app/dist/assets/logos/Twitter.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/logos/Twitter.svg	(from https://startuptemplate.vercel.app/)
17:43:14	591/591	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:15%20GMT	https://startuptemplate.vercel.app/dist/assets/Underline1.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Underline1.svg	(from https://startuptemplate.vercel.app/dist/styles.css)
17:43:15	1580/1580	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:16%20GMT	https://startuptemplate.vercel.app/dist/assets/Underline2.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Underline2.svg	(from https://startuptemplate.vercel.app/dist/styles.css)
17:43:16	2750/2750	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:17%20GMT	https://startuptemplate.vercel.app/dist/assets/Underline3.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Underline3.svg	(from https://startuptemplate.vercel.app/dist/styles.css)
17:43:17	3619/3619	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:18%20GMT	https://startuptemplate.vercel.app/dist/assets/Underline4.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Underline4.svg	(from https://startuptemplate.vercel.app/dist/styles.css)
17:43:18	1043/1043	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202023%2015:43:19%20GMT	https://startuptemplate.vercel.app/dist/assets/Highlight3.svg	/home/lux/websites/vercel/startuptemplate.vercel.app/dist/assets/Highlight3.svg	(from https://startuptemplate.vercel.app/dist/styles.css)
